#          omega,            hol_g,      FCI (extra),               HF,         CCS-1-S1,         CCS-2-S2,         CCS-4-S4,           LF-HF,          LF-MP2,       NN-VMC
      0.10000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99988985   
      0.29500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99993002   
      0.49000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99991095   
      0.68500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99989021   
      0.88000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99987459   
      1.07500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99985993   
      1.27000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99984574   
      1.46500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99983513   
      1.66000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99982166   
      1.85500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99982071   
      2.05000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99984646   
      2.24500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99986064   
      2.44000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99987531   
      2.63500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99968386   
      2.83000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99966431   
      3.02500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99964440   
      3.22000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99962676   
      3.41500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99960804   
      3.61000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99958837   
      3.80500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99956930   
      4.00000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,  -1.99984968   
      0.10000000,       0.25000000,      -2.17643166,      -2.15624892,      -2.17479451,      -2.17643073,      -2.17643166,     -2.17326033,     -2.17610034,  -2.17650056   
      0.29500000,       0.25000000,      -2.07060397,      -2.05296608,      -2.07010522,      -2.07060378,      -2.07060397,     -2.06884465,     -2.07058052,  -2.07070160   
      0.49000000,       0.25000000,      -2.04811004,      -2.03188768,      -2.04782578,      -2.04810996,      -2.04811004,     -2.04677696,     -2.04811003,  -2.04809856   
      0.68500000,       0.25000000,      -2.03790026,      -2.02281021,      -2.03770927,      -2.03790022,      -2.03790026,     -2.03682697,     -2.03790431,  -2.0378952    
      0.88000000,       0.25000000,      -2.03188540,      -2.01775568,      -2.03174661,      -2.03188538,      -2.03188540,     -2.03099715,     -2.03188975,  -2.03193355   
      1.07500000,       0.25000000,      -2.02783064,      -2.01453488,      -2.02772492,      -2.02783063,      -2.02783064,     -2.02708275,     -2.02783443,  -2.02786255   
      1.27000000,       0.25000000,      -2.02486445,      -2.01230315,      -2.02478129,      -2.02486444,      -2.02486445,     -2.02422676,     -2.02486756,  -2.02483797   
      1.46500000,       0.25000000,      -2.02257349,      -2.01066553,      -2.02250650,      -2.02257348,      -2.02257349,     -2.02202428,     -2.02257598,  -2.02269506   
      1.66000000,       0.25000000,      -2.02073480,      -2.00941265,      -2.02067981,      -2.02073479,      -2.02073480,     -2.02025781,     -2.02073678,  -2.02078772   
      1.85500000,       0.25000000,      -2.01921658,      -2.00842318,      -2.01917077,      -2.01921658,      -2.01921658,     -2.01879930,     -2.01921816,  -2.01929188   
      2.05000000,       0.25000000,      -2.01793539,      -2.00762195,      -2.01789674,      -2.01793539,      -2.01793539,     -2.01756802,     -2.01793665,  -2.01674676   
      2.24500000,       0.25000000,      -2.01683550,      -2.00695991,      -2.01680255,      -2.01683550,      -2.01683550,     -2.01651024,     -2.01683652,  -2.01588106   
      2.44000000,       0.25000000,      -2.01587808,      -2.00640369,      -2.01584972,      -2.01587808,      -2.01587808,     -2.01558862,     -2.01587890,  -2.01452804   
      2.63500000,       0.25000000,      -2.01503511,      -2.00592979,      -2.01501050,      -2.01503511,      -2.01503511,     -2.01477630,     -2.01503577,  -2.01466799   
      2.83000000,       0.25000000,      -2.01428577,      -2.00552120,      -2.01426427,      -2.01428577,      -2.01428577,     -2.01405338,     -2.01428631,  -2.01426482   
      3.02500000,       0.25000000,      -2.01361422,      -2.00516529,      -2.01359531,      -2.01361422,      -2.01361422,     -2.01340474,     -2.01361467,  -2.01360726   
      3.22000000,       0.25000000,      -2.01300817,      -2.00485248,      -2.01299145,      -2.01300817,      -2.01300817,     -2.01281865,     -2.01300854,  -2.01300883   
      3.41500000,       0.25000000,      -2.01245789,      -2.00457540,      -2.01244302,      -2.01245789,      -2.01245789,     -2.01228585,     -2.01245820,  -2.01245809   
      3.61000000,       0.25000000,      -2.01195557,      -2.00432825,      -2.01194228,      -2.01195557,      -2.01195557,     -2.01179891,     -2.01195582,  -2.01194978   
      3.80500000,       0.25000000,      -2.01149485,      -2.00410643,      -2.01148293,      -2.01149485,      -2.01149485,     -2.01135178,     -2.01149507,  -2.01147962   
      4.00000000,       0.25000000,      -2.01107050,      -2.00390625,      -2.01105976,      -2.01107050,      -2.01107050,     -2.01093948,     -2.01107068,  -2.01105428   
      0.10000000,       0.50000000,      -2.93941651,      -2.92665028,      -2.93757324,      -2.93935947,      -2.93941604,     -2.93753554,     -2.93897909,  -2.94078445   
      0.29500000,       0.50000000,      -2.28804768,      -2.21185677,      -2.27910770,      -2.28803170,      -2.28804773,     -2.27602191,     -2.28688245,  -2.28825045   
      0.49000000,       0.50000000,      -2.19498586,      -2.12754960,      -2.19024699,      -2.19498023,      -2.19498587,     -2.18760112,     -2.19484549,  -2.19505477   
      0.68500000,       0.50000000,      -2.15308278,      -2.09123943,      -2.14997451,      -2.15308000,      -2.15308278,     -2.14769291,     -2.15310942,  -2.15309691   
      0.88000000,       0.50000000,      -2.12850681,      -2.07102254,      -2.12627254,      -2.12850525,      -2.12850681,     -2.12429378,     -2.12856387,  -2.12856770   
      1.07500000,       0.50000000,      -2.11199423,      -2.05813950,      -2.11030186,      -2.11199328,      -2.11199423,     -2.10857617,     -2.11205028,  -2.11190939   
      1.27000000,       0.50000000,      -2.09994653,      -2.04921259,      -2.09861936,      -2.09994593,      -2.09994653,     -2.09710635,     -2.09999456,  -2.09990048   
      1.46500000,       0.50000000,      -2.09066138,      -2.04266169,      -2.08959410,      -2.09066098,      -2.09066138,     -2.08826086,     -2.09070062,  -2.09061337   
      1.66000000,       0.50000000,      -2.08322248,      -2.03765040,      -2.08234744,      -2.08322220,      -2.08322248,     -2.08116703,     -2.08325402,  -2.08324051   
