#          omega,            hol_g,      FCI (extra),               HF,         CCS-1-S1,         CCS-2-S2,           LF-HF,          LF-MP2,        NN-VMC
      0.10000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99984450   
      0.29500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99986650   
      0.49000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99981040   
      0.68500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985431   
      0.88000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985907   
      1.07500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99982144   
      1.27000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99984319   
      1.46500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99983822   
      1.66000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99988696   
      1.85500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99988765   
      2.05000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99983090   
      2.24500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985167   
      2.44000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99982514   
      2.63500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99980111   
      2.83000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985625   
      3.02500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985899   
      3.22000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99986179   
      3.41500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99987499   
      3.61000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99980002   
      3.80500000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99985531   
      4.00000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,      -2.00000000,     -2.00000000,     -2.00000000,   -1.99981631   
      0.10000000,       0.25000000,      -2.10533794,      -2.03289383,      -2.07925859,      -2.10400650,     -2.05754279,     -2.08631956,   -2.10510532   
      0.29500000,       0.25000000,      -2.05638517,      -2.00380269,      -2.05164699,      -2.05632640,     -2.02990372,     -2.05588594,   -2.05636453   
      0.49000000,       0.25000000,      -2.04245907,      -2.00188553,      -2.04054312,      -2.04244741,     -2.02648791,     -2.04255715,   -2.04244952   
      0.68500000,       0.25000000,      -2.03505579,      -2.00140747,      -2.03403322,      -2.03505194,     -2.02414406,     -2.03513259,   -2.03504926   
      0.88000000,       0.25000000,      -2.03026126,      -2.00109868,      -2.02963112,      -2.03025960,     -2.02229390,     -2.03031410,   -2.03025809   
      1.07500000,       0.25000000,      -2.02682533,      -2.00090586,      -2.02640138,      -2.02682451,     -2.02075380,     -2.02686142,   -2.02682392   
      1.27000000,       0.25000000,      -2.02420573,      -2.00076198,      -2.02390297,      -2.02420528,     -2.01943559,     -2.02423067,   -2.02420377   
      1.46500000,       0.25000000,      -2.02212284,      -2.00066364,      -2.02189721,      -2.02212259,     -2.01828732,     -2.02214051,   -2.02212119   
      1.66000000,       0.25000000,      -2.02041599,      -2.00058691,      -2.02024216,      -2.02041584,     -2.01727453,     -2.02042863,   -2.02041534   
      1.85500000,       0.25000000,      -2.01898478,      -2.00052575,      -2.01884737,      -2.01898467,     -2.01637265,     -2.01899396,   -2.01898409   
